Domain,Questionnaire Number,Section Title,Variable name,Short Description,Values,Length,Precision,Scale,Long Description,Pre-selected variable?,Original CTS Variable Name (for questionnaire variables),,,
Cancer,,,firstothercancer_date,First other cancer date,,,,,The first diagnosis date within the chosen analytic time frame for a cancer that is not the cancer of interest.,,,,,
Cancer,,,analysis_end_date,Analysis end date,,,,,"The analysis end date is the date follow-up ends for a participant. Follow-up ends at diagnosis with any other cancer; diagnosis of the cancer of interest; death; move out of CA; if applicable, risk-eliminating surgery (hysterectomy, bilateral oophorectomy, or bilateral mastectomy for analyses of uterine, ovarian, or breast cancers, respectively); or the end of follow-up date. Research can choose to not include other cancer diagnosis as a censoring criteria.",,,,,
Cancer,,,event,Event to end follow-up,"1=diagnosis of cancer of interest
2=other cancer diagnosis
3=move out of CA
4=death
5=end of follow-up
6=hysterectomy (if studying uterine cancer)
7=bilateral mastectomy (if studying breast cancer)
8=bilateral oophorectomy (if studying ovarian cancer)",,,,The event that ends a participant's follow-up. This is the event that occurs on the analysis_end_date.,,,,,
Cancer,,,date_dt,Cancer diagnosis date,MM/DD/YYYY if participant was diagnosed with cancer,,,,Cancer diagnosis date,,,,,
Cancer,,,seer_id,Seer ID,20010-99999,,,,"Surveillance, Epidemiology, and End Results ( SEER ) program of the National Cancer Institute (NCI)

Values: 20010-99999",,,,,
Cancer,,,site_sub_cat1_nme,Site sub category 1 name,,,,,This is the Site subcategory name for SEERWHO recode,,,,,
Cancer,,,site_group_nme,Site group name,,40,,,This is the site group name for the SEERWHO recode,,,,,
Cancer,,,histologic_icdo2_typ,Histologic ICD-O-2 type,"4-digit histology code pre 2001
e.g. 8046",4,,,"The first four digits of the ICD-O-2 morphology code, indicates the histology/cell type of this tumor.",,,,,
Cancer,,,histologic_icdo3_typ,Histologic ICD-O-3 type,"4-digit histology code
e.g. 8046",4,,,"Tumor histology - The first four digits of the ICD-O-3 morphology code, indicates the histology/cell type of this tumor. Coded directly for cases diagnosed 2001 and forward. Cases coded prior to 2001 were converted to ICDO-3.",,,,,
Cancer,,,icd_o3_cde,ICD-O-3 code,"4-digit ICD-0 code beginning with C
e.g. C209",4,,,Tumor site - Location where this tumor originated in as much detail as is known and for which a code is provided in ICD-O-2 for cases 1988-2000 and ICDO-3 for cases 2001 forward.,,,,,
Cancer,,,tumor_grade_id,Tumor grade id,"1: Grade I or well differentiated, 2: Grade II or moderately well differentiated, 3: Grade III or poorly differentiated, 4: Grade IV or undifferentiated/anaplastic, 5: T- cell,
 6: B-cell, 7: Null cell, 8: Natural Killer (NK) cell, 9: Grade and differentiation not stated, 0",,,,Tumor grade - Sixth digit of ICD-O-3; designates the grade or differentiation of the tumor.,,,,,
Cancer,,,stage_cde,Stage code,"00=In situ, 10=I, 11=IA, 12=IB, 13=IC, 19=I, NOS, 20=II , 21=IIA, 22=IIB, 23=IIC, 29=II, NOS, 30=III, 31=IIIA, 32=IIIB, 33=IIIC, 39=III, NOS, 40=IV, 41=IVA, 42=IVB, 43=IVC, 49=IV, NOS, 90=Unstaged/Occult, 98=Not applicable, 99=Error",2,,,"In CCR: STAGE
Combined AJCC stage variable. EOD converted to AJCC 3rd edition stage for cervical, colon, rectum, ovarian, vulva, vagina, and lung cancers for 1994-2003; breast cancer for 1988-2003; CS converted to AJCC 6th edition stage for 2004-2009; CS converted to AJCC 7th edition stage for 2010 and forward.",,,,,
Cancer,,,stage_behaviour_ind,Stage behaviour ind,"0=Benign in both ICD-O-2 and ICD O-3
1=Borderline malignancy in both ICD-O-2 and ICD-O-3
2=In situ in both ICD-O-2 and ICD-O-3
3=Malignant (invasive) in both ICD-O-2 and ICD-O-3
4=Only malignant in ICD-O-3
5=No longer reportable in ICD-O-3
6=Only malignant for cases diagnosed 2010+",,,,This is the CCR code used for HISTO_M3 (fifth digit) of the ICD-O-3 or HISTO_M2 (fifth digit) of the ICD-O-2 indicating behavior of the tumor.,,,,,
Cancer,,,stage_behaviour_nme,Stage behaviour name,"0: Benign
1: Borderline
2: In situ
3: Invasive",20,,,This is the descriptive name for the CCR code used for STAGE_BEHAVIOUR_IND,,,,,
Cancer,,,stage_sum_ind,Stage sum indicator,"0: In situ, 1: Localized, 2: Regional by direct extension, 3: Regional by lymph nodes, 4: Regional by direct extension and lymph nodes, 5: Regional, NOS, 7: Remote, 8: Not abstracted, 9: Unknown or not specified",,,,"In CCR : SUMSTAGE 
Summary stage at time of diagnosis",,,,,
Cancer,,,stage_seer_cde,Stage seer code,"00: 00 (In situ), 10: I, 11: IA, 12:
 IB, 13: IC, 19: I, NOS, 20: II, 21:
 IIA, 22: IIB, 23: IIC, 29: II, NOS,
 30: III, 31: IIIA, 32: IIIB, 33: IIIC,
 39: III, NOS, 40: IV, 41: IVA, 42:
 IVB, 43: IVC, 49: IV, NOS, 90:
 Unstaged/Occult, 98: Not
 applicable, 99: Error",2,,,"In CCR: STAGE_SEER
Combined AJCC stage variable. EOD converted to SEER-Modified AJCC 3rd edition stage for cervical, colon, rectum, ovarian, vulva, vagina, and lung cancers for 1994-2003; breast cancer for 1988- 2003; CS converted to AJCC 6th edition stage for 2004-2009; CS converted to AJCC 7th edition stage for 2010 and forward.",,,,,
Cancer,,,cancer_confirm_ind,Cancer confirm indicator,"1: Histology, including
 hematology, 2: Cytology, 4: Microscopically confirmed, but type of specimen unknown, 5: Positive lab test or marker study, 6: Direct observation, 7: Radiography, 8: Clinical, other, 9: Unknown",,,,"In CCR: DXCONF 
Indicates whether at any time during the patient’s medical history there was microscopic confirmation of this cancer.",,,,,
Cancer,,,lag_birth_day_qty,Lag birthday qty,,,,,Current AGE in days at event,,,,,
Cancer,,,lag_death_day_qty,Lag death day qty,,,,,The number of days from this event to the death of the participant.,,,,,
Cancer,,,lag_from_first_event_day_qty,Lag from first event day qty,,,,,This is the difference in days from the current event date and the date of the first event,,,,,
Cancer,,,lag_from_qnr1_day_qty,Lag from qnr1 day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 1,,,,,
Cancer,,,lag_from_qnr2_day_qty,Lag from qnr2 day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 2,,,,,
Cancer,,,lag_from_qnr3_day_qty,Lag from qnr3 day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 3,,,,,
Cancer,,,lag_from_qnr3m_day_qty,Lag from qnr3m day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 3 Mini,,,,,
Cancer,,,lag_from_qnr4_day_qty,Lag from qnr4 day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 4,,,,,
Cancer,,,lag_from_qnr4m_day_qty,Lag from qnr4m day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 4 Mini,,,,,
Cancer,,,lag_from_qnr5_day_qty,Lag from qnr5 day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 5,,,,,
Cancer,,,lag_from_qnr5m_day_qty,Lag from qnr5m day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 5 Mini,,,,,
Cancer,,,lag_from_qnr6_day_qty,Lag from qnr6 day qty,,,,,This is the difference in days from the current event date and the date the participant filled in the Questionnaire 6,,,,,
Cancer,,,lymph_node_pos_nbr_cde,Lymph node pos nbr code,"00: All nodes examined negative, 01-89: Actual number of nodes positive, 90: Ninety or more nodes positive, 95: Positive aspiration of lymph nodes, 97: Positive nodes, but number unknown, 98: No nodes examined (none removed), 99: Unknown if nodes are positive or negative, or unknown if examined, Blank: Not abstracted",2,,,"In CCR:PNODETU 
Number of regional lymph nodes with evidence of involvement (positive).",,,,,
Cancer,,,tumor_multi_asone_primary_cde,Tumor multi asone primary code,"ex. 00,20,30,40,88",2,,,"In CCR:MULTTUMRPTASONEPRIM 
Identifies cases with multiple tumors that are abstracted and reported as a single primary using the SEER, IARC, or Canadian Cancer Registry multiple primary rules. Multiple tumors may individually exhibit in situ, invasive, or any combination of in situ and invasive behaviors. Multiple intracranial and central nervous system tumors may individually exhibit benign, borderline, malignant, or any combination of these behaviors.
 Multiple tumors found in the same organ or in a single primary site may occur at the time of initial diagnosis or within one year of the initial diagnosis.",,,,,
Cancer,,,tumor_multi_count_cde,Tumor multi count code,"00: Single Tumor, 10: At least two benign tumors in same organ/primary site (Intracranial
 & CNS sites only), 11: At least two borderline tumors in the same organ/primary site (Intracranial & CNS sites only), 12: Benign and borderline tumors in the same organ/primary site (Intracranial
 & CNS sites only), 20: At least two in situ tumors in the same organ/primary site, 30: One or more in situ & one or more invasive tumors in the same organ/primary site, 31: One or more in situ/invasive adenocarcinoma in a polyp & one or more frank adenocarcinoma in one segment of colon, 32: Familial polyposis with one or more in situ/invasive carcinoma, 40: At least two invasive tumors in the same organ (Includes one or more invasive tumor with histology “NOS” & one or more separate invasive tumor with a more specific histology), 80:",2,,,"In CCR:MULTIPLICITYCOUNTER 
This data item is used to count the number of individual reportable tumors (multiplicity) that are present at the time of diagnosis or the number of reportable tumors that occur within one year of the original diagnosis reported as a single primary using the SEER, IARC, or Canadian Cancer Registry multiple primary rules.",,,,,
Cancer,,,chemo_sum_cde,Chemo sum code,"00: None, diagnosed at autopsy, 01: Chemotherapy,
 NOS, 02: Single agent, 03:
 Multiple agents, 82:
 Contraindicated, 85: Patient died prior to planned or recommended therapy, 86: Recommended, not given, 87: Refused, 88: Recommended, unknown if given, 99: Unknown or death certificate only case (DCO)",2,,,"In CCR: CHEMOSUM
Identifies the type of chemotherapy given as first course of treatment at any facility, or the reason it was not given. RXDATEC records the date of initation for chemotherapy.",,,,,
Cancer,,,horm_sum_cde,Horm sum code,"00: None, 01: Hormones given,
 82: Contraindicated, 85: Patient died, 86: Recommended, not given, 87: Refused, 88: Recommended, unknown if given, 99: Unknown or death certificate only (DCO) case",2,,,"In CCR: HORMSUM 
Records whether systemic hormonal agents were given as first course of treatment at any facility, or the reason why they were not given. RXDATEH provides the date hormone therapy started.
TYPEREP indicates which facility had the best source of information about the patient’s neoplasm.",,,,,
Cancer,,,immuno_sum_cde,Immuno sum code,"00: None, diagnosed at autopsy, 01: Hormones given, 82: Contraindicated, 85: Patient died, 86: Recommended, not given, 87: Refused, 88: Recommended, unknown if given, 99: Unknown or death certificate only (DCO) case",2,,,"In CCR: IMMUSUM
Records whether systemic immunotherapy was given as first course of treatment at any facility, or the reason why it was not given. RXDATEI records the date of initiation for immunotherapy (a.k.a. biological response modifier) that is part of the first course of treatment.
TYPEREP indicates which facility had the best source of information about the patient’s neoplasm.",,,,,
Cancer,,,other_sum_cde,Other sum code,"0: None, 1: Other, 2:
 Experimental, 3: Double-blind
 study, 6: Unproven methods, 7:
 Refused, 8: Planned, 9: Unknown",,,,"In CCR: OTHSUM 
Indicates whether the first course of treatment included other types of therapy. RXDATEO provides the date that the other type of therapy started.",,,,,
Cancer,,,rad_sum_cde,Rad sum code,"0: None, diagnosed at autopsy, 1: Beam, 2: Implants, 3:
 Isotopes, 4: Combination of 1
 with 2 or 3, 5: Radiation, NOS,
 6: Implants/Isotopes, NOS, 9: Unknown",,,,"In CCR: RADSUM
Summary of radiation therapy given as first course of treatment. RXDATER identifies the date radiation therapy started.",,,,,
Cancer,,,norad_reason_cde,Norad reason code,"0: Radiation performed, 1: Not recommended, 2: Contraindicated due to other conditions, 5: Patient died, 6: Reason unknown, 7: Refused, 8: Recommended, unknown if given, 9: Unknown if radiation either recommended or given, DC and autopsy only cases",,,,"In CCR: NORAD
Reason why the first course of treatment did not include radiation.",,,,,
Cancer,,,nosurg_reason_cde,Nosurg reason code,"V0: Surgery was performed, 1: None, 2: Contraindicated due to patient risk factors, 5: Patient died prior to surgery, 6: Recommended, not given, 7: Refused, 8: Recommended, unknown if performed, 9: Unknown, diagnosed at autopsy or death certificate only",,,,"In CCR: NOSURG
Reason why the first course of treatment did not include definitive surgery. Reason for No Surgery only applies to surgery of the primary site.",,,,,
Cancer,,,rad_seq_cde,Rad seq code,"0: Not applicable, 2: Radiation before surgery, 3: Radiation after surgery, 4: Radiation before and after surgery, 5: Intraoperative, 6: Intraoperative
 + before and/or after, 7: Surgery both before and after radiation., 9: Both given, but sequence unknown",,,,"In CCR: RADSEQ
Indicates the sequence of radiation therapy with surgery (pre-op, post-op, etc.) during the first course of treatment.",,,,,
Cancer,,,rx_dt,Rx date,"CCYYMMDD
 0’s: No treatment or unknown if treated.
 9’s: DC only case or treatment performed but the date is unknown.",,,,"In CCR: RXDATE_CCYYMMDD 
In CCR: RXDATE 
Date first course of definitive treatment started for this tumor. Based on earliest date reported for surgery, radiation, chemotherapy, hormone therapy, immunotherapy, or transplant/endocrine procedure.",,,,,
Cancer,,,rx_nodate_cde,Rx nodate code,"10: No information whatsoever can be inferred from this exceptional value (e.g., unknown if therapy was administered)., 11: No proper value is applicable in this context (e.g., therapy was not administered)., 12: A proper value is applicable but not known (e.g., therapy was administered and date is unknown)., Blank: A valid date value is provided in item RXDATE, or the date was not expected to have been transmitted.",2,,,"In CCR: DATEOFINITIALRXFLAG
Indicates why there is no appropriate value in the corresponding date field,RXDATE.",,,,,
Cancer,,,rx_chemo_dt,Rx chemo date,"CCYYMMDD
 0’s: No chemotherapy or unknown if ever treated.
 8’s: Treatment planned but not started within 6 months of the date of first admission.
 9’s: DC only case or chemotherapy given but the date is unknown.",,,,"In CCR: RXDATEC, RXDATEC_CCYYMMDD
Date chemotherapy started. CHEMOSUM identifies the type of chemotherapy given as first course of treatment.",,,,,
Cancer,,,rx_chemo_nodate_cde,Rx chemo nodate code,"10: Unknown if any surgical procedure was performed, 11: No surgical procedure was performed; autopsy only case, 12: Surgery was performed but the date is unknown, 15: Information is not available at this time, but it is expected that it will be available later (e.g., chemotherapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up)., Blank: A valid date value is provided in item, RX Date -- Chemo, or the date was not expected to have been transmitted.",2,,,"In CCR: RXDATECHEMOFLAG
Explains why there is no appropriate value in the corresponding date field, RXDATEC.",,,,,
Cancer,,,rx_horm_dt,Rx horm date,"CCYYMMDD
 0’s: No hormone therapy or unknown if ever treated.
 8’s: Treatment planned but not started within 6 months of the date of first admission.
 9’s: DC only case or hormone therapy given but the date is unknown.",,,,"In CCR: RXDATEH , RXDATEH_CCYYMMDD
Date hormone therapy started. HORMSUM identifies the type of hormone therapy given as first course of treatment.",,,,,
Cancer,,,rx_horm_nodate_cde,Rx horm nodate code,"10: No information whatsoever can be inferred from this exceptional value (e.g., unknown if any hormone therapy administered.), 11: No proper value is applicable in this context (e.g., no hormone therapy administered; autopsy only cases)., 12: A value is applicable but not known. This event occurred, but date is unknown (e.g., hormone therapy administered but date is unknown)., 15: Information is not available at this time, but it is expected that it will be available later (e.g., hormone therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up)., Blank: A valid date value is provided in item RX Date-- Hormone, or the date was not expected to have been trasmitted.",2,,,"In CCR: RXDATEHORMONEFLAG
Explains why there is no appropriate value in the corresponding date field, RXDATEH.",,,,,
Cancer,,,rx_immuno_dt,Rx immunodate,"CCYYMMDD
 0’s: No immunotherapy or unknown if ever treated.
 8’s: Treatment planned but not started within 6 months of the date of first admission.
 9’s: DC only case or immunotherapy given but the date is unknown.",,,,"In CCR: RXDATEI , RXDATEI_CCYYMMDD 
Date immunotherapy started. IMMUSUM identifies the type of immunotherapy given as first course of treatment.",,,,,
Cancer,,,rx_immuno_nodate_cde,Rx immuno nodate code,"10: No information whatsoever can be inferred from this exceptional value (e.g., unknown if immunotherapy administered)., 11: No proper value is applicable in this context (e.g., no immunotherapy administered; autopsy only case)., 12: A value is applicable but not known.
 This event occurred, but the date is unknown (e.g., immunotherapy administered but date is unknown)., 15: Information is not available at this time, but it is expected that it will be available later (e.g., immune therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up)., Blank: A valid date value is provided in item RX Date--BRM, or the date was not expected to have been transmitted.",2,,,"In CCR: RXDATEBRMFLAG 
Explains why there is no appropriate value in the corresponding date field, RXDATEI.",,,,,
Cancer,,,rx_other_dt,Rx other date,"CCYYMMDD
 0’s: No other treatment or unknown if ever treated. 9’s: DC only case or other
 treatment given but the date is unknown.",,,,"In CCR: RXDATEO , RXDATEO_CCYYMMDD 
Date other therapy started. OTHSUM identifies the 'other' type of therapy given as first course of treatment.",,,,,
Cancer,,,rx_other_nodate_cde,Rx other nodate code,"10: No information whatsoever can be inferred from this exceptional value (e.g., unknown if other therapy administered)., 11: No proper value is applicable in this context (e.g., no other treatment administered; autopsy only case)., 12: A value is applicable but not known.
 This event occurred, but the date is unknown (e.g., other therapy administered but date is unknown)., Blank: A valid date value is provided in item RX Date--Other, or the date was not expected to have been transmitted.",2,,,"In CCR: RXDATEOTHERFLAG 
This flag explains why there is no appropriate value in the corresponding date field, RXDATEO.",,,,,
Cancer,,,rad_boost_mode_cde,Rad boost mode code,"00: None, diagnosed at autopsy, 20: External beam, NOS, 21: Orthovoltage, 22: Cobolt-60 & Cesium-137, 23: Photons (2-5 MV), 24: Photons
 (6-10 MV), 25: Photons (11-19
 MV), 26: Photons (>19 MV), 27:
 Photons (mixed energies), 28: Electrons, 29: Photons and electrons mixed, 30: Neutrons with or w/o photons/electrons, 31: IMRT, 32: Conformal or 3-D
therapy, 40: Protons, 41: Stereotactic radiosurgery, NOS, 42: Linac radiosurgery, 43:
 Gamma knife, 50:
 Brachytherapy, NOS, 51: Brachytherapy, intracavitary, LDR,
 52: Brachytherapy,
 intracavitary, HDR, 53: Brachytherapy, interstitial, LDR, 54: Brachytherapy, interstitial,
 HDR, 55: Radium, 60:
 Radioisotopes, NOS, 61:
 Strontium-89, 62: Strontium-90,
 98: Other, NOS, 99: Unknown",2,,,"In CCR: RADBSTMOD 
Identifies the volume or anatomic target of the most clinically significant boost radiation therapy delivered to the patient during the first course of treatment. See also RADREGMOD. Radiation treatment is frequently delivered in two or more phases which can be summarized as “regional” and “boost” treatments. To evaluate patterns of radiation oncology care, it is necessary to know which radiation resources were employed in the delivery of therapy. For outcomes analysis, the modalities used for each of these phases can be very important.",,,,,
Cancer,,,rad_regional_mode_cde,Rad regional mode code,"00: None, diagnosed at autopsy, 20: External Beam NOS, 21: Orthovoltage, 22:
 Cobalt-60, Censium-137, 23:
 Photons (2-5 MV), 24: Photons
 (6-10 MV), 25: Photons (11-19
 MV), 26: Photons (>19 MV), 27:
 Photons (mixed energies), 28: Electrons, 29: Photons and electrons mixed, 30: Neutrons with or without photons/electrons, 31: IMRT, 32: Conformal or 3-D therapy, 40: Protons, 41: Stereotactic radiosurgery, NOS, 42: Linac radiosurgery, 43: Gamma Knife, Blank: Diagnosed prior to 1/01/2003, 50: Brachytherapy,
 NOS, 51: Brachytherapy,
 Intracavitary, LDR, 52: Brachytherapy, Intracavitary, HDR, 53: Brachytherapy,
 Interstitial, LDR, 54: Brachytherapy, Interstitial, HDR, 55: Radium, 60:
 Radioisotopes, NOS, 61:
 Strontium-89, 62: Strontium-90,
 80: Combination modality,
 specified, 85: Combination",2,,,"In CCR: RADREGMOD 
Records the dominant modality of radiation therapy used to deliver the most clinically significant regional dose to the primary volume of interest during the first course of treatment. Radiation treatment is frequently delivered in two or more phases which can be summarized as “regional” and “boost” treatments. To evaluate patterns of radiation oncology care, it is necessary to know which radiation resources were employed in the delivery of therapy. For outcomes analysis, the modalities used for each of these phases can be very important.",,,,,
Cancer,,,rx_rad_dt,Rx rad date,"CCYYMMDD
 0’s: No radiation or unknown if ever treated.
 8’s: Treatment planned but not started within 6 months of the date of first admission.
 9’s: DC only case or radiation performed but the date is unknown. ",,,,"In CCR: RXDATER , RXDATER_CCYYMMDD
Date radiation therapy started (including radiation to central nervous system).
RADSUM identifies the type of radiation therapy used for first course of treatment.",,,,,
Cancer,,,rx_rad_nodate_cde,Rx rad nodate code,"10: No information whatsoever can be inferred from this exceptional value (e.g., unknown whether any radiation therapy administered)., 11: No proper value is applicable in this context (e.g., no radiation therapy administered; autopsy only case).,
 12: A proper value is applicable but not known. This event occurred, but date is unknown (e.g., radiation was administered but date is unknown)., 15: Information is not available at this time, but it is expected that it will be available later (e.g., radiation therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up)., Blank: A valid date value is provided in item RX Date-- Radiation, or the date was not expected to have been transmitted.",2,,,"In CCR: RXDATERADIATIONFLAG 
This flag explains why there is no appropriate value in the corresponding date field, RXDATER.",,,,,
Cancer,,,rx_stg_proc_dt,Rx stg proc date,"CCYYMMDD
 0’s = No procedure or unknown if performed.
 9’s = Death certificate case, or procedure was done but date is unknown. ",,,,"In CCR: RXDATESN , RXDATESN_CCYYMMDD 
Date of diagnostic or staging procedure",,,,,
Cancer,,,rx_stg_proc_nodate_cde,Rx stg proc nodate code,"10: No information whatsoever can be inferred from this exceptional value (e.g., unknown if systemic therapy was administered)., 11: No proper value is applicable in this context (e.g., no systemic therapy was administered; autopsy only case)., 12: A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., systemic therapy administered but date is unknown)., Blank: A valid date value is provided in item RX Date DX/Stg Proc [1280], or the date was not expected to have been transmitted. ",2,,,"In CCR: RXDATEDXSTGPROCFLAG 
Date of diagnostic or staging procedure",,,,,
Cancer,,,rx_systemic_dt,Rx systemic date,"CCYYMMDD
 0's: No treatment or unknown if treated.
 9’s: DC Only case or systemic given but the date is unknown.",,,,"In CCR: DTSYSTEMIC , DTSYSTEMIC_CCYYMMDD
Records the date of initiation for systemic therapy that is part of the first course of treatment. Systemic therapy is considered to be: chemotherapy agents, hormonal agents, biological response modifiers, bone marrow transplants, stem cell harvests, and surgical and/or radiation endocrine therapy.",,,,,
Cancer,,,rx_systemic_nodate_cde,Rx systemic nodate code,"10: No information whatsoever can be inferred from this exceptional value (e.g., unknown if systemic therapy was administered)., 11: No proper value is applicable in this context (e.g., no systemic therapy was administered; autopsy only case)., 12: A proper value is applicable but not known. This event occurred, but the date is unknown (e.g., systemic therapy administered but date is unknown).,
 15: Information is not available at this time, but it is expected that it will be available later (e.g., systemic therapy is planned as part of the first course of therapy, but had not been started at the time of the most recent follow-up)., Blank: A valid date value is provided in item RX Date--Systemic, or the date was not expected to have been transmitted. ",2,,,"In CCR: RXDATESYSTEMICFLAG 
This flag explains why there is no appropriate value in the corresponding date field, DTSYSTEMIC",,,,,
Cancer,,,rx_systemic_sum_seq_cde,Rx systemic sum seq code,"0: No systemic therapy and/or surgical procedures; unknown if surgery and/or systemic therapy given, 2: Systemic therapy before surgery, 3: Systemic therapy after surgery, 4: Systemic therapy before and after surgery, 5: Intraoperative systemic therapy, 6: Intraoperative systemic therapy with other therapy administered before or after surgery, 7: Surgery both before and after systemic therapy (effective 2012), 9: Sequence unknown, but both surgery and systemic therapy given",1,,,"In CCR: RXSUMMSYSTEMICSURSEQ 
Records the sequencing of systemic therapy (Chemosum [1390], Hormsum [1400], Immusum [1410], and transsum [3250]) and surgical procedures given as part of the first course of treatment. For cases with a 2006+ diagnosis date.",,,,,
