Variable,RType,SASType,SASLen,SASFormat,SASInformat,SASLabel
horm_sum_cde,character,Char,2,$2.00 ,$2.00 ,Horm sum code
immuno_sum_cde,character,Char,2,$2.00 ,$2.00 ,Immuno sum code
other_sum_cde,numeric,Num,8,4.,4.,Other sum code
rad_sum_cde,numeric,Num,8,4.,4.,Rad sum code
norad_reason_cde,numeric,Num,8,4.,4.,Norad reason code
nosurg_reason_cde,numeric,Num,8,4.,4.,Nosurg reason code
rad_seq_cde,numeric,Num,8,4.,4.,Rad seq code
rx_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx date
rx_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx nodate code
rx_chemo_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx chemo date
rx_chemo_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx chemo nodate code
rx_horm_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx horm date
rx_horm_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx horm nodate code
rx_immuno_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx immunodate
rx_immuno_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx immuno nodate code
rx_other_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx other date
rx_other_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx other nodate code
rad_boost_mode_cde,character,Char,2,$2.00 ,$2.00 ,Rad boost mode code
rad_regional_mode_cde,character,Char,2,$2.00 ,$2.00 ,Rad regional mode code
rx_rad_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx rad date
rx_rad_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx rad nodate code
rx_stg_proc_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx stg proc date
rx_stg_proc_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx stg proc nodate code
rx_systemic_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Rx systemic date
rx_systemic_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Rx systemic nodate code
rx_systemic_sum_seq_cde,character,Char,1,$1.00 ,$1.00 ,Rx systemic sum seq code
nnodes_cde,character,Char,2,$2.00 ,$2.00 ,Nnodes code
surg_sum_cde,character,Char,2,$2.00 ,$2.00 ,Surg sum code
surg_other_cde,numeric,Num,8,4.,4.,Surg other code
surg_primary_cde,character,Char,2,$2.00 ,$2.00 ,Surg primary code
surg_recon_cde,numeric,Num,8,4.,4.,Surg reconstructive code
surg_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Surg date
surg_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Surg nodate code
surg_defin_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Surg defin date
surg_defin_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Surg defin nodate code
surg_other_98_cde,character,Char,1,$1.00 ,$1.00 ,Surg other 98 code
surg_primary_98_cde,character,Char,2,$2.00 ,$2.00 ,Surg primary 98 code
scope_ind,numeric,Num,8,4.,4.,Scope indicator
scope1_cde,numeric,Num,8,4.,4.,Scope1 code
scope2_cde,numeric,Num,8,4.,4.,Scope2 code
scope3_cde,numeric,Num,8,4.,4.,Scope3 code
surg1_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Surg1 date
surg1_other_cde,numeric,Num,8,4.,4.,Surg1 other code
surg1_primary_cde,character,Char,2,$2.00 ,$2.00 ,Surg1 primary code
surg2_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Surg2 date
surg2_other_cde,numeric,Num,8,4.,4.,Surg2 other code
surg2_primary_cde,character,Char,2,$2.00 ,$2.00 ,Surg2 primary code
surg3_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Surg3 date
surg3_other_cde,numeric,Num,8,4.,4.,Surg3 other code
surg3_primary_cde,character,Char,2,$2.00 ,$2.00 ,Surg3 primary code
transp_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Transplant date
transp_nodate_cde,character,Char,2,$2.00 ,$2.00 ,Transp nodate code
lateral_site_cde,character,Char,1,$1.00 ,$1.00 ,Lateral site code
estrogen_rcptr_ind,numeric,Num,8,6.,6.,Estrogen receptor indicator
estrogen_rcptr_dsc,character,Char,20,$20.00 ,$20.00 ,Estrogen receptor description
progesterone_rcptr_ind,numeric,Num,8,6.,6.,Progesterone receptor indicator
progesterone_rcptr_dsc,character,Char,20,$20.00 ,$20.00 ,Progesterone receptor description
her2_rcptr_ind,numeric,Num,8,6.,6.,Her2 receptor indicator
her2_rcptr_dsc,character,Char,20,$20.00 ,$20.00 ,Her2 receptor description
age_at_baseline,numeric,Num,8,11.,11.,Age at baseline
adopted,character,Char,50,$50.00 ,$50.00 ,Was participant adopted
twin,character,Char,50,$50.00 ,$50.00 ,Is participant a twin
birthplace,character,Char,50,$50.00 ,$50.00 ,Place participant was born
birthplace_mom,character,Char,50,$50.00 ,$50.00 ,Place participant's mom was born
birthplace_dad,character,Char,50,$50.00 ,$50.00 ,Place participant's dad was born
participant_race,numeric,Num,8,11.,11.,Participant's race
dad_race,numeric,Num,8,11.,11.,Father's race
mom_race,numeric,Num,8,11.,11.,Mother's race
nih_ethnic_cat,character,Char,50,$50.00 ,$50.00 ,For grant inclusion enrollment report: part a-ethnic category
nih_race_cat,character,Char,50,$50.00 ,$50.00 ,For grant inclusion enrollment report: part a-racial category
nih_hisp_enroll,character,Char,50,$50.00 ,$50.00 ,For grant inclusion enrollment report: part b-hispanic enrollment
age_mom_atbirth,character,Char,50,$50.00 ,$50.00 ,Age of mom at participant's birth
age_dad_atbirth,character,Char,50,$50.00 ,$50.00 ,Age of dad at participant's birth
older_bros_num,character,Char,50,$50.00 ,$50.00 ,Number of brothers born before participant
older_sis_num,character,Char,50,$50.00 ,$50.00 ,Number of sisters born before participant
younger_bros_num,character,Char,50,$50.00 ,$50.00 ,Number of brothers born after participant
younger_sis_num,character,Char,50,$50.00 ,$50.00 ,Number of sisters born after participant
employ_currschl,character,Char,50,$50.00 ,$50.00 ,Type of employment in CA schools current
employ_longschl,character,Char,50,$50.00 ,$50.00 ,Type of employment in CA schools longest
teacher_type,character,Char,50,$50.00 ,$50.00 ,Teacher type
employ_numschl,character,Char,50,$50.00 ,$50.00 ,Number of schools employed at
employ_schlyrs,character,Char,50,$50.00 ,$50.00 ,Total years employed in CA school sys
near_chemplnt,character,Char,50,$50.00 ,$50.00 ,Live/work near chemical plant
near_powerplnt,character,Char,50,$50.00 ,$50.00 ,Live/work near power plant
near_pulpmill,character,Char,50,$50.00 ,$50.00 ,Live/work near pulp mill
near_oilrefine,character,Char,50,$50.00 ,$50.00 ,Live/work near oil refinery
near_landfill,character,Char,50,$50.00 ,$50.00 ,Live/work near landfill
powerln_currschl,character,Char,50,$50.00 ,$50.00 ,Power lines near current school
powerln_longschl,character,Char,50,$50.00 ,$50.00 ,Power lines near longest school
powerln_currres,character,Char,50,$50.00 ,$50.00 ,Power lines near current residence
powerln_longres,character,Char,50,$50.00 ,$50.00 ,Power lines near longest residence
pstcideskn_undr15,character,Char,50,$50.00 ,$50.00 ,Insect repell on skin - under age 15
pstcideskn15_35,character,Char,50,$50.00 ,$50.00 ,Insect repell on skin - age 15-35
pstcideskn_ovr35,character,Char,50,$50.00 ,$50.00 ,Insect repell on skin - over age 35
pstcidehm_undr15,character,Char,50,$50.00 ,$50.00 ,Pest/herbicides in home - under 15?
pstcidehm15_35,character,Char,50,$50.00 ,$50.00 ,Pest/herbicides in home - 15-35?
pstcidehm_ovr35,character,Char,50,$50.00 ,$50.00 ,Pest/herbicides in home - over 35?
pstcidecloud_undr15,character,Char,50,$50.00 ,$50.00 ,Cloud of pest spray - under 15?
pstcidecloud15_35,character,Char,50,$50.00 ,$50.00 ,Cloud of pest spray - 15-35?
pstcidecloud_ovr35,character,Char,50,$50.00 ,$50.00 ,Cloud of pest spray - over 35?
pstcidefarm_undr15,character,Char,50,$50.00 ,$50.00 ,Pest/herbicides on farm - under 15?
pstcidefarm15_35,character,Char,50,$50.00 ,$50.00 ,Pest/herbicides on farm - 15-35?
pstcidefarm_ovr35,character,Char,50,$50.00 ,$50.00 ,Pest/herbicides on farm - over 35?
elecblnket,character,Char,50,$50.00 ,$50.00 ,Elect blanket while sleep
elecwatrbed,character,Char,50,$50.00 ,$50.00 ,Elect water bed while sleep
elecrmheat,character,Char,50,$50.00 ,$50.00 ,Elect room heat while sleep
eleclight,character,Char,50,$50.00 ,$50.00 ,Elect light while sleep
sunskn_noprotec,character,Char,50,$50.00 ,$50.00 ,Skin in sun w/o protection
sunskn_repeat,character,Char,50,$50.00 ,$50.00 ,Skin in sun repeatedly
sunbrnblist,character,Char,50,$50.00 ,$50.00 ,Burned enough to cause blist
sunbrnblist_age,character,Char,50,$50.00 ,$50.00 ,Age this first occurred
sunbrnblist_num,character,Char,50,$50.00 ,$50.00 ,Number of times this occurred
menarche_age,numeric,Num,8,11.,11.,Age at menarche
period_timetoreg,numeric,Num,8,11.,11.,Time to regular periods
period_daysbtwn,character,Char,50,$50.00 ,$50.00 ,Days from start of period to next
oralcntr_ever_q1,numeric,Num,8,11.,11.,Ever used oral contraceptives
oralcntr_yrs,numeric,Num,8,11.,11.,Total yrs used oral contraceptives
bc_1stage,numeric,Num,8,11.,11.,Age 1st birth control
bc_lastage,numeric,Num,8,11.,11.,Age last birth control
fullterm_age1st,numeric,Num,8,11.,11.,"Age 1st full term preg(lb,sb)"
preg_age1st,numeric,Num,8,11.,11.,Age 1st pregnancy
livbirth_total,numeric,Num,8,11.,11.,Total num of live births
stilbirth_total,numeric,Num,8,11.,11.,Total num of still births
miscarr_total,numeric,Num,8,11.,11.,Total num of miscarriages
abort_total,numeric,Num,8,11.,11.,Total num of abortions
tubalpreg_total,numeric,Num,8,11.,11.,Total num of tubal pregs
fullterm_total,numeric,Num,8,11.,11.,Total live births+still births
preg_ever_q1,numeric,Num,8,11.,11.,Ever pregnant
preg_curr_q1,numeric,Num,8,11.,11.,Currently pregnant
miscarr_age1st,numeric,Num,8,11.,11.,Age 1st miscarriage
abort_age1st,numeric,Num,8,11.,11.,Age 1st abortion
preg_agelast,numeric,Num,8,11.,11.,Age last pregnancy(all outcomes)
preg_total_q1,numeric,Num,8,11.,11.,Total number of pregnancies
livbirth_age1st,numeric,Num,8,11.,11.,Age at first live birth
breastfd_age1st,numeric,Num,8,11.,11.,Age 1st breast fed
breastfd_mo,numeric,Num,8,11.,11.,Total months breast fed
des_stopmiscarr,character,Char,50,$50.00 ,$50.00 ,Taken DES to prevent miscarriage
preg_failed,character,Char,50,$50.00 ,$50.00 ,Couldn't get pregnant
fertdrug_clomid,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - clomid
fertdrug_danazol,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - danazol
fertdrug_danocrn,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - danocrine
fertdrug_hcg,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - hcg
fertdrug_milophn,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - milophene
fertdrug_lupron,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - lupron
fertdrug_nolvadx,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - nolvadex
fertdrug_pergonl,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - pergonal
fertdrug_serophn,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - serophene
fertdrug_synarel,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - synarel
fertdrug_other,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - other
fertdrug_none,character,Char,50,$50.00 ,$50.00 ,Taken fertility drug - none
period_stop,character,Char,50,$50.00 ,$50.00 ,Periods stopped permanently
meno_statbasic,numeric,Num,8,11.,11.,Menopausal status basic grouping
meno_stattype,numeric,Num,8,11.,11.,Menopausal status include type of menopause
meno_stattype_age,numeric,Num,8,11.,11.,Menopausal status type and age
agelastperiod_q1,character,Char,50,$50.00 ,$50.00 ,Age of last period
whyperiodstop_q1,character,Char,50,$50.00 ,$50.00 ,Why did periods stop
hysterectomy_age_q1,character,Char,50,$50.00 ,$50.00 ,Age at hysterectomy
ovaryremoved_q1,character,Char,50,$50.00 ,$50.00 ,Ovary removed
ovaryremoved_age_q1,character,Char,50,$50.00 ,$50.00 ,Age first had ovary removed
tuballig_age_q1,character,Char,50,$50.00 ,$50.00 ,Age at tubal ligation
estroalone,numeric,Num,8,11.,11.,"Estrogen alone never, past, current"
eplusp,numeric,Num,8,11.,11.,"E+p overlap never, past, current"
progalone,numeric,Num,8,11.,11.,"P alone never, past, current"
ht_revusepattern,numeric,Num,8,11.,11.,Ht reviewed pattern of use
ht_allpast_curr,numeric,Num,8,11.,11.,"Ht all past, cur e, cur e+p, p only"
estroalone_dur,numeric,Num,8,11.,11.,Duration of e alone final var
progalone_dur,numeric,Num,8,11.,11.,Duration of p alone final var
eplusp_dur,numeric,Num,8,11.,11.,Duration of e+p overlap final var
estroalone_start,numeric,Num,8,11.,11.,Age begin e alone final var
progalone_start,numeric,Num,8,11.,11.,Age begin p alone final var
eplusp_start,numeric,Num,8,11.,11.,Age begin e+p overlap final var
estroalone_end,numeric,Num,8,11.,11.,Age end e alone final var
progalone_end,numeric,Num,8,11.,11.,Age end p alone final var
eplusp_end,numeric,Num,8,11.,11.,Age end e+p overlap final var
premarn_age1st,character,Char,50,$50.00 ,$50.00 ,Age first took premarin
premarn_agelast,character,Char,50,$50.00 ,$50.00 ,Age last took premarin
premarn_totyrs,numeric,Num,8,11.,11.,Total years taking prem
premarn_grn_q1,character,Char,50,$50.00 ,$50.00 ,Use of premarin - green
premarn_brwn_q1,character,Char,50,$50.00 ,$50.00 ,Use of premarin - brown/red
premarn_wht_q1,character,Char,50,$50.00 ,$50.00 ,Use of premarin - white
premarn_yelorn_q1,character,Char,50,$50.00 ,$50.00 ,Use of premarin - yellow/orange
premarn_prpl_q1,character,Char,50,$50.00 ,$50.00 ,Use of premarin - purple
premarn_longest,character,Char,50,$50.00 ,$50.00 ,Longest use of premarin - type
estro_mouth,character,Char,50,$50.00 ,$50.00 ,Estrogen by mouth
estro_inject,character,Char,50,$50.00 ,$50.00 ,Estrogen by injection
estro_patch_impl,character,Char,50,$50.00 ,$50.00 ,Estrogen by patch/implant
estro_vag,character,Char,50,$50.00 ,$50.00 ,Estrogen by vaginal cream/supp
prog_ever,character,Char,50,$50.00 ,$50.00 ,Use of progesterone/progestin
meno_ht_statcomb,numeric,Num,8,11.,11.,Combination of menopausal status and past or current ht
prog_age1st,character,Char,50,$50.00 ,$50.00 ,Age first use of progesterone
prog_agelast,character,Char,50,$50.00 ,$50.00 ,Age last use of progesterone
prog_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking progesterone
prog_days_mo_q1,numeric,Num,8,11.,11.,Days/month using progestin
provera_dose_q1,numeric,Num,8,11.,11.,Usual dose of provera
brca,character,Char,50,$50.00 ,$50.00 ,Breast cancer
brca_age1st,numeric,Num,8,11.,11.,Age 1st dx breast ca.
brimplant,character,Char,50,$50.00 ,$50.00 ,Breast implants
brimplant_age1st,character,Char,50,$50.00 ,$50.00 ,Age first had breast implants
brimplant_type,character,Char,50,$50.00 ,$50.00 ,Kind of breast implants
mammo_ever_q1,character,Char,50,$50.00 ,$50.00 ,Mammogram
brexam,character,Char,50,$50.00 ,$50.00 ,Breast exam
papsmr,character,Char,50,$50.00 ,$50.00 ,Pap smear
mammo_yrssnce_ques62,numeric,Num,8,11.,11.,Years since last mammogram
brexam_yrssnce_ques62,numeric,Num,8,11.,11.,Years since last breast exam
papsmr_yrssnce_ques62,numeric,Num,8,11.,11.,Years since last pap smear
brexam_lastyr,character,Char,50,$50.00 ,$50.00 ,# of breast exams in last yr
bldtrans_never,character,Char,50,$50.00 ,$50.00 ,Blood transfusion - no
bldtrans_undr35,character,Char,50,$50.00 ,$50.00 ,Blood transfusion - before age 35
bldtrans35_44,character,Char,50,$50.00 ,$50.00 ,Blood transfusion - 35-44
bldtrans45_54,character,Char,50,$50.00 ,$50.00 ,Blood transfusion - 45-54
bldtrans55_64,character,Char,50,$50.00 ,$50.00 ,Blood transfusion - 55-64
bldtrans_ovr64,character,Char,50,$50.00 ,$50.00 ,Blood transfusion - after 64
height_q1,numeric,Num,8,11.,11.,Height today
weight_q1,numeric,Num,8,11.,11.,Weight today
height_age18,numeric,Num,8,11.,11.,Height age 18
weight_age18,numeric,Num,8,11.,11.,Weight age 18
bmi_q1,numeric,Num,8,20.1,20.1,Body mass index (kg/m**2)
bmi_age18,numeric,Num,8,20.1,20.1,Body mass index (kg/m**2) age 18
aspr_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking aspirin
aspr_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking aspirin
acetm_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking acetaminophen
acetm_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking acetaminophen
ibupf_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking ibuprofen
ibupf_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking ibuprofen
tagam_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking tagamet
tagam_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking tagamet
resprn_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking reserpine
resprn_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking reserpine
wtrpil_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking water pills/hi bp
wtrpil_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking water pills/hi bp
hbpmed_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking high blood press
hbpmed_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking high blood pressure
calcium_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking calcium
calcium_days_wk,character,Char,50,$50.00 ,$50.00 ,Days/wk taking calcium
nsaid_totyrs,character,Char,50,$50.00 ,$50.00 ,Total years taking any nsaid
nsaid_days,character,Char,50,$50.00 ,$50.00 ,Days/wk taking any nsaid
brca_self_ovr50_q1,character,Char,50,$50.00 ,$50.00 ,You - breast cancer over 50
brca_self_undr50_q1,character,Char,50,$50.00 ,$50.00 ,You - breast cancer under 50
endoca_self_q1,character,Char,50,$50.00 ,$50.00 ,You - endometrial cancer
cervca_self_q1,character,Char,50,$50.00 ,$50.00 ,You - cervical cancer
ovryca_self_q1,character,Char,50,$50.00 ,$50.00 ,You - ovarian cancer
lungca_self_q1,character,Char,50,$50.00 ,$50.00 ,You - lung cancer
leuk_self_q1,character,Char,50,$50.00 ,$50.00 ,You - leukemia
hodg_self_q1,character,Char,50,$50.00 ,$50.00 ,You - hodgkins dis
colnca_self_q1,character,Char,50,$50.00 ,$50.00 ,You - colon/rect cancer
thyrca_self_q1,character,Char,50,$50.00 ,$50.00 ,You - thyroid cancer
meln_self_q1,character,Char,50,$50.00 ,$50.00 ,You - malig melanoma
nevrca_self_q1,character,Char,50,$50.00 ,$50.00 ,You - never had cancer
nevrca_mom_q1,character,Char,50,$50.00 ,$50.00 ,Mom - never had cancer
nevrca_dad_q1,character,Char,50,$50.00 ,$50.00 ,Dad - never had cancer
gallstn_self,character,Char,50,$50.00 ,$50.00 ,You - gall stones
diab_self_q1,character,Char,50,$50.00 ,$50.00 ,You - diabetes
hipfrac_self,character,Char,50,$50.00 ,$50.00 ,You - hip fracture
fibroid_self,character,Char,50,$50.00 ,$50.00 ,You - fibroids/womb
endomtrs_self,character,Char,50,$50.00 ,$50.00 ,You - endometriosis
migrain_self,character,Char,50,$50.00 ,$50.00 ,You - migraines
brstbiop_self,character,Char,50,$50.00 ,$50.00 ,You - breast biopsy
colnpoly_self,character,Char,50,$50.00 ,$50.00 ,You - colon/rect polyps
thyrdis_self,character,Char,50,$50.00 ,$50.00 ,You - thyroid dis
molesrmv_self,character,Char,50,$50.00 ,$50.00 ,You - moles removed
stroke_self_q1,character,Char,50,$50.00 ,$50.00 ,You - stroke
hrtatk_self_q1,character,Char,50,$50.00 ,$50.00 ,You - heart attack
hbp_self_q1,character,Char,50,$50.00 ,$50.00 ,You - hi blood press
brca_selfsurvey,character,Char,50,$50.00 ,$50.00 ,Breast cancer self(survey data only)
brca_famhis,numeric,Num,8,11.,11.,Family history of breast cancer
endoca_famhis,numeric,Num,8,11.,11.,Family history of endometrial cancer
ovryca_famhis,numeric,Num,8,11.,11.,Family history of ovarian cancer
cervca_famhis,numeric,Num,8,11.,11.,Family history of cervical cancer
lungca_famhis,numeric,Num,8,11.,11.,Family history of lung cancer
leuk_famhis,numeric,Num,8,11.,11.,Family history of leukemia
hodg_famhis,numeric,Num,8,11.,11.,Family history of hodgkins or lymphoma
thyrca_famhis,numeric,Num,8,11.,11.,Family history of thyroid cancer
colnca_famhis,numeric,Num,8,11.,11.,Family history of colorectal cancer
meln_famhis,numeric,Num,8,11.,11.,Family history of melanoma
prosca_famhis,numeric,Num,8,11.,11.,Family history of prostate cancer
strnex_hs_hrs,numeric,Num,8,20.1,20.1,Strenuous exercise dur hs hrs/wk over yr lb
strnex18_24hrs,numeric,Num,8,20.1,20.1,Strenuous exercise age 18-24 hrs/wk over yr lb
strnex25_34hrs,numeric,Num,8,20.1,20.1,Strenuous exercise age 25-34 hrs/wk over yr lb
strnex35_44hrs,numeric,Num,8,20.1,20.1,Strenuous exercise age 35-44 hrs/wk over yr lb
strnex45_54hrs,numeric,Num,8,20.1,20.1,Strenuous exercise age 45-54 hrs/wk over yr lb
strnex_hrs_q1,numeric,Num,8,20.1,20.1,Strenuous exercise past 3yrs hrs/wk over yr lb
modex_hs_hrs,numeric,Num,8,20.1,20.1,Moderate exercise dur hs hrs/wk over yr lb
modex18_24hrs,numeric,Num,8,20.1,20.1,Moderate exercise age 18-24 hrs/wk over yr lb
modex25_34hrs,numeric,Num,8,20.1,20.1,Moderate exercise age 25-34 hrs/wk over yr lb
modex35_44hrs,numeric,Num,8,20.1,20.1,Moderate exercise age 35-44 hrs/wk over yr lb
modex45_54hrs,numeric,Num,8,20.1,20.1,Moderate exercise age 45-54 hrs/wk over yr lb
modex_hrs_q1,numeric,Num,8,20.1,20.1,Moderate exercise past 3yrs hrs/wk over yr lb
strnex_life_hrs,numeric,Num,8,20.1,20.1,Strenuous exercise hrs/wk over lifetime
modex_life_hrs,numeric,Num,8,20.1,20.1,Moderate exercise hrs/wk over lifetime
allex_hs_hrs,numeric,Num,8,20.1,20.1,Strenuous + moderate exercise hrs/wk over year hs
allex18_24hrs,numeric,Num,8,20.1,20.1,Strenuous + moderate exercise hrs/wk over year 18-24
allex25_34hrs,numeric,Num,8,20.1,20.1,Strenuous + moderate exercise hrs/wk over year 25-34
