Questionnarie,Section,Variable name,Label,Data type,Answer_Choice_Key,Values,Length,Precision,Scale,Description,Pre-selected variables,Participant characteristics,Anthropomorphic measurements,Employment,Environment,Residency,Oral contraceptives,Pregnancy,Medications,Female health history,Menopause/menstrual Periods,Female surgery,Menopausal hormone therapy,X-Rays imaging and radiation,Personal medical history,Personal history of cancer,Family history of cancer,Family history of other medical conditions,Children's health history,Mammograms and other health screenings,Physical activity,Vitamins,Diet,Alcohol use,Smoking,Secondhand smoke,Happiness and social support,Cognitive status,Sleep habits,Medicinal cannabis,Sexual orientation,Financial stress
Q1,BACKGROUND & ENVIRONMENT,NEAROIL,Live/work near oil refinery,Char,63,N/Y/Z,1,,,Q13 Ever lived/worked w/i 1/2 mile oil refinery?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,NEARLDFL,Live/work near landfill,Char,64,N/Y/Z,1,,,Q13 Ever lived/worked w/i 1/2 mile landfill?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PWRSCHLC,Power lns near current school,Char,65,"A=No pwr lns, B=On poles, C=On towers, D=On poles & towers, E=Don't Know, Z=Problem",1,,,Q14 Types of ovhd pwr lines w/i 1 blk of cur school?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PWRSCHLL,Power lns near longest school,Char,66,"A=No pwr lns, B=On poles, C=On towers, D=On poles & towers, E=Don't Know, Z=Problem",1,,,Q14 Types of ovhd pwr lines w/i 1 blk of long school?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PWRRESC,Power lns near current residence,Char,68,"A=No pwr lns, B=On poles, C=On towers, D=On poles & towers, E=Don't Know, Z=Problem",1,,,Q15 Types of overhead pwr lines w/i 1 blk of cur res?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PWRRESL,Power lns near longest residence,Char,69,"A=No pwr lns, B=On poles, C=On towers, D=On poles & towers, E=Don't Know, Z=Problem",1,,,Q15 Types of overhead pwr lines w/i 1 blk of lng res?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTSKN15,Insect repell on skin - under age 15,Char,70,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use insect repellent on skin/clothing - under 15?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTSKNM,Insect repell on skin - age 15-35,Char,71,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use insect repellent on skin/clothing - 15-35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTSKN35,Insect repell on skin - over age 35,Char,72,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use insect repellent on skin/clothing - over 35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTHOM15,Pest/herbicides in home - under 15?,Char,73,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use pest/herbicides in home - under 15?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTHOMM,Pest/herbicides in home - 15-35?,Char,74,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use pest/herbicides in home - 15-35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTHOM35,Pest/herbicides in home - over 35?,Char,75,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use pest/herbicides in home - over 35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTCLD15,Cloud of pest spray - under 15?,Char,76,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Ever in a cloud of pest spray - under 15?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTCLDM,Cloud of pest spray - 15-35?,Char,77,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Ever in a cloud of pest spray - 15-35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTCLD35,Cloud of pest spray - over 35?,Char,78,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Ever in a cloud of pest spray - over 35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTFRM15,Pest/herbicides on farm - under 15?,Char,79,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use pest/herbicides on farm - under 15?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTFRMM,Pest/herbicides on farm - 15-35?,Char,80,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use pest/herbicides on farm - 15-35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,PSTFRM35,Pest/herbicides on farm - over 35?,Char,81,"A=No, B=Yes/occasionally, C=Yes/frequent, Y=Ans both (B) & (C), Z=Problem",1,,,Q16 Use pest/herbicides on farm - over 35?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,ELBLKT,Elect blanket while sleep,Char,82,N/Y/Z,1,,,Q17 Used elect blanket while sleeping?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,ELBED,Elect water bed while sleep,Char,87,N/Y/Z,1,,,Q17 Used elect water bed while sleeping?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,ELROOM,Elect room heat while sleep,Char,92,N/Y/Z,1,,,Q17 Used elect room heat while sleeping?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,ELLITE,Elect light while sleep,Char,97,N/Y/Z,1,,,Q17 Used elect light while sleeping?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,SUNPROT,Skin in sun w/o protection,Char,101,"A=SevBrn w/bls, B=SevBrn w/o bls, C=Mld brn/tan, D=No brn then tan, E=No brn/tan, X=Ans both (A) & (B), Y=Ans both (D) & (E), Z=Problem
",1,,,Q18 What happens to skin in sun w/o protection?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,SUNREP,Skin in sun repeatedly,Char,102,"A=Deep tan, B=Mod tan, C=Lt tan, D=No tan, Y=Ans any combination of (A) (B) (C), Z=Problem",1,,,Q19 What happens to skin in sun repeatedly?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,SUNBLIST,Burned enough to cause blist,Char,103,N/Y,1,,,Q20 Ever sunburned enough to cause blistering?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,SUNFIRST,Age this first occurred,Char,104,"A=5 or less, B=6-10, C=11-15, D=16-20, E=21-25, F=26+, Z=Problem",1,,,Q20 What age did this first occur?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,SUNTIMES,Number of times this occurred,Char,105,"A=1-2, B=3-4, C=5-9, D=10+",1,,,Q20 How many times did this occur?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FMP,AGE AT MENARCHE,Num,1526,"1-10, 1=NoFMP, 2=<10, 3=10, 4=11, 5=12, 6=13, 7=14, 8=15, 9=16, 10=17+, .A=FP_Blnk, .B=P4B_P5A, .C=Q Blnk, .D=M_Ans, .E=Unk",,8,0,Q21 AGE AT MENARCHE,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PREGNOT,Couldnt get pregnant,Char,280,N/Y,1,,,Q32 Ever a time you tried to get preg & couldn't?,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDCLOMID,Taken fertility drug - Clomid,Char,281,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Clomid?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDDANAZ,Taken fertility drug - Danazol,Char,282,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Danazol?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDDANOC,Taken fertility drug - Danocrine,Char,283,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Danocrine?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDHCG,Taken fertility drug - hCG,Char,284,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - hCG?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDMILO,Taken fertility drug - Milophene,Char,285,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Milophene?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDLUPRON,Taken fertility drug - Lupron,Char,286,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Lupron Depot?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDNOLVA,Taken fertility drug - Nolvadex,Char,287,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Nolvadex?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDPERG,Taken fertility drug - Pergonal,Char,288,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Pergonal?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDSERO,Taken fertility drug - Serophene,Char,289,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Serophene?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDSYNAR,Taken fertility drug - Synarel,Char,290,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Synarel?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDOTHER,Taken fertility drug - Other,Char,291,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - Other?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,FDNONE,Taken fertility drug - None,Char,292,"A=Yes, Z=Problem",1,,,Q33 Ever take fertility drug - None?,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRDSTOP,Periods stopped permenantly,Char,293,"A=No, B=Yes w/i 6 mth, C=Yes > 6 mth ago, D=On OC’s to have periods (post meno), Z=Problem",1,,,Q34 Have periods stopped permanently?,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRMEVERG,Use of Premarin - Green,Char,304,N/Y,1,,,Q46 Have you ever used Premarin - Green?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRMEVERB,Use of Premarin - Brown/Red,Char,305,N/Y,1,,,Q46 Have you ever used Premarin - Brown/Red?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRMEVERW,Use of Premarin - White,Char,306,N/Y,1,,,Q46 Have you ever used Premarin - White?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRMEVERY,Use of Premarin - Yellow/Orange,Char,307,N/Y,1,,,Q46 Have you ever used Premarin - Yellow/Orange,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRMEVERP,Use of Premarin - Purple,Char,308,N/Y,1,,,Q46 Have you ever used Premarin - Purple?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRMLONG,Longest use of Premarin - type,Char,309,"A=Green, B=Brown/Red, C=White, D=Yellow/Orange, E=Purple, F=Ans ""A"" & ""B"", G=Ans ""B"" & ""C"", H=Ans ""C"" & ""D"", I=Ans ""D"" & ""E"", J=Ans ""A"" & ""D"", K=Ans ""C"" & ""E"", L=Ans ""B"" & ""D""      ",1,,,Q46 Longest use of Premarin - Which type?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,ESTINJCT,Estrogen by injection,Char,311,N/Y/Z,1,,,Q47 Ever taken estrogen by injection?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,ESTPATCH,Estrogen by patch/implant,Char,312,N/Y/Z,1,,,Q47 Ever taken estrogen by patch/implant?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,ESTVAGCM,Estrogen by vaginal cream/supp,Char,313,N/Y/Z,1,,,Q47 Ever taken estrogen by vaginal cream/supp?,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,Provera_Dose,Usual dose of provera,Num,6210,"0=No provera use, 1=2.5mg, 2= 5mg, 3=10 mg, 4=20 mg, 5=Other, 6=Don't know, 7=Multiple doses selected, 8=Used another type of progestin, 99=Missing",,2,0,"Q51, Q55 GENERATED - Usual dose of provera",,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,TTOREG,TIME TO REGULAR PERIODS,Num,1527,"0-7, 0=No_FMP ,1=NvReg ,2=<1yr ,3=1yr,4=2 yrs ,5=3 yrs ,6=4 yrs ,7=5+ yrs,.A=FP_Blnk ,.B=P4B_P5A ,.C=Q Blnk ,.D=B_NvReg ,.E=B_Reg, .K=NFMP_Reg ,.L=FMP_B, .N=FMP_ToIrrg ,.O=U_Blnk ,.P=U_NvReg ,.Q=U_Reg;",,8,0,Q22 TIME TO REGULAR PERIODS,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PRDAYS,Days from start of period to next,Char,108,"A=24 or less, B=25-26, C=27-28, D=29-30, E=31-32, F=33 or more, G=multiple ans, Z=Problem",1,,,Q23 Days from start of one period to start of next?,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,ROCYN15,EVER USED OC,Num,1545,"0-4, 0=NO,<=1915, 1=Y_Curr, 2=Y_Pst, 4=Y_Cur?_Pst?, .A=FP_Blnk, .B=PG_Blnk, .C=NVR_Q2426B, .U=Unk_Rev",,8,0,Q24-26 EVER USED OC,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,RTOCYRS15,TOTAL YRS USED OC,Num,1548,"0-8, 0=No OC, 1=<1, 2=1-2, 3=3-4, 4=5-9, 5=10-14, 6=15-19, 7=20-24, 8=25+, .A=FP_Blnk, .B=PG_Blnk, .C=NVR_Q2426B, .H=H:OC15Y_NoYrs,  .U=Unk_Rev",,8,0,Q24-26 TOTAL YRS USED OC,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PILLAGFX,RECONSTITUTED - age 1st birth control,Num,1367,0-69,,3,0,Q25 RECONSTITUTED -Age first used birth control,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,PILLAGLX,RECONSTITUTED - age last birth control,Num,1368,"0-83, .Z=Problem",,3,0,Q25 RECONSTITUTED -Age last used birth control,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,TOTLB,TOTAL NUM OF LIVE BIRTHS,Num,1528,"0-13, .A=FP_Blnk, .B=P4BP5ANoP, .C=QB_P5Blnk, .D=QB_P5ANoP, .P=NoPrgs, .Z=GrdPrb",,8,0,Q28 TOTAL NUM OF LIVE BIRTHS,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,TOTSB,TOTAL NUM OF STILL BIRTHS,Num,1529,"0-8, .A=FP_Blnk, .B=P4BP5ANoP, .C=QB_P5Blnk, .D=QB_P5ANoP, .P=NoPrgs, .Z=GrdPrb",,8,0,Q28 TOTAL NUM OF STILL BIRTHS,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,TOTMS,TOTAL NUM OF MISCARRIAGES,Num,1530,"0-14, .A=FP_Blnk, .B=P4BP5ANoP, .C=QB_P5Blnk, .D=QB_P5ANoP, .L=N22, .P=NoPrgs, .Z=GrdPrb",,8,0,Q28 TOTAL NUM OF MISCARRIAGES,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,TOTAB,TOTAL NUM OF ABORTIONS,Num,1531,"0-12, .A=FP_Blnk, .B=P4BP5ANoP, .C=QB_P5Blnk, .D=QB_P5ANoP, .P=NoPrgs, .Z=GrdPrb",,8,0,Q28 TOTAL NUM OF ABORTIONS,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Q1,REPRODUCTIVE HISTORY,TOTTB,TOTAL NUM OF TUBAL PREGS,Num,1532,"0-2, .A=FP_Blnk, .B=P4BP5ANoP, .C=QB_P5Blnk, .D=QB_P5ANoP, .L=N3, .M=N4, .N=N5, .O=N6, .P=NoPrgs, .Z=GrdPrb",,8,0,Q28 TOTAL NUM OF TUBAL PREGS,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
